36430,BLOOD ADMINISPEECH THERAPYRATION,BLOOD BANK,714.00,hospital
P9016,BLOOD LEUKOREDUCED,BLOOD BANK,290.00,Madison_Valley_Medical_Center
P9017,FRESH FROZEN PLASMA,BLOOD BANK,92.00,Madison_Valley_Medical_Center
P9022,BLOOD WASHED CELLS,BLOOD BANK,404.00,Madison_Valley_Medical_Center
P9035,PLATELETS (EA UNIT),BLOOD BANK,670.00,Madison_Valley_Medical_Center
93799,CARDIAC REHAB - PHASE 3,CARDIAC REHAB,50.00,Madison_Valley_Medical_Center
,CARDIAC REHAB- SELF DIRECTED,CARDIAC REHAB,44.00,Madison_Valley_Medical_Center
10021,FIN NEEDLE ASPIRATION RHC,CLINIC,248.00,Madison_Valley_Medical_Center
10040,REMOVAL CYSPEECH THERAPY RHC,CLINIC,203.00,Madison_Valley_Medical_Center
10060,INCISION AND DRAINAGE RHC,CLINIC,207.00,Madison_Valley_Medical_Center
10061,INCISION DRAINAGE ABC RHC,CLINIC,410.00,Madison_Valley_Medical_Center
10120,INCISION & REMVL FORE RHC,CLINIC,212.00,Madison_Valley_Medical_Center
10121,INCISION AND REMOVAL COMPLICATED,CLINIC,560.00,Madison_Valley_Medical_Center
10140,INCISION AND DRAINAGE RHC,CLINIC,323.00,Madison_Valley_Medical_Center
10160,ASPIRATION ABSCESS HE RHC,CLINIC,195.00,Madison_Valley_Medical_Center
11000,Debridement -ECZEMATOUS OR INFECTED SKIN,CLINIC,113.00,Madison_Valley_Medical_Center
11042,DEBRIDEMENT SUBCUT 1S RHC,CLINIC,249.00,Madison_Valley_Medical_Center
11055,PARING SKIN LESION BE RHC,CLINIC,35.00,Madison_Valley_Medical_Center
11056,PARING BN HYPERKERATO RHC,CLINIC,116.00,Madison_Valley_Medical_Center
11102,Tangential biopsy of skin single lesion,CLINIC,76.39,Madison_Valley_Medical_Center
11103,Tangential biopsy of skin ea sep/add'l,CLINIC,44.84,Madison_Valley_Medical_Center
11104,PUNCH BIOPSY SKIN  ONE LESION,CLINIC,253.00,Madison_Valley_Medical_Center
11106,BIOPSY SKIN SUB TISSU RHC,CLINIC,65.00,Madison_Valley_Medical_Center
11106,Incal biopsy skin single lesion,CLINIC,349.00,Madison_Valley_Medical_Center
11107,Incal bx skin ea sep addi,CLINIC,44.00,Madison_Valley_Medical_Center
11200,REMOVAL SKIN TAG UP T RHC,CLINIC,151.00,Madison_Valley_Medical_Center
11201,REMOVAL SKIN TAG 15 A RHC,CLINIC,38.00,Madison_Valley_Medical_Center
11300,SHAVING LESION 0.5 OR RHC,CLINIC,75.00,Madison_Valley_Medical_Center
11301,SHAVING LESION 0.6 -1 RHC,CLINIC,237.00,Madison_Valley_Medical_Center
11302,SHV SKIN LESION 1 TRUNK.ARM.LEG 1.1-2 CM,CLINIC,127.00,Madison_Valley_Medical_Center
11303,SHV SKIN LESION TRUNK.ARM.LEG >2.0,CLINIC,148.00,Madison_Valley_Medical_Center
11305,Shaving of epidermal/dermal leasion 0.5,CLINIC,202.00,Madison_Valley_Medical_Center
11400,Excision benign lesion .05cm or less,CLINIC,268.00,Madison_Valley_Medical_Center
11401,REMOVAL BN .6 - 1 CM RHC,CLINIC,295.00,Madison_Valley_Medical_Center
11402,"EXCISION, BENIGN LESION 1.1 TO 2.0",CLINIC,344.00,Madison_Valley_Medical_Center
11403,"Excision, Benign lesion,2.1 to 3.0cm",CLINIC,395.00,Madison_Valley_Medical_Center
11406,EXCISION BENIGN LESION OVER 4.0 cm,CLINIC,645.00,Madison_Valley_Medical_Center
11420,REMOVAL BN 0.5 OR LES RHC,CLINIC,243.00,Madison_Valley_Medical_Center
11421,REMOVAL BN .6-1.0 SCA RHC,CLINIC,311.00,Madison_Valley_Medical_Center
11422,REMOVAL BN 1.1-2 SCAL RHC,CLINIC,348.00,Madison_Valley_Medical_Center
11423,"Excision,OCCUPATIONAL THERAPYh benigh lesion inc margins,",CLINIC,501.00,Madison_Valley_Medical_Center
